,Title,image,MRP
11,Gillette Series 3x Protection Sensitive Shave Foam with Aloe - 245 g,"['https://m.media-amazon.com/images/I/71B9aRfFw+L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71B9aRfFw+L._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71B9aRfFw+L._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71B9aRfFw+L._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71B9aRfFw+L._AC_UL960_FMwebp_QL65_.jpg']",285
12,Gillette Fusion Hydragel Sensitive Pre Shave Gel - 195 g (200 ml),"['https://m.media-amazon.com/images/I/81vlFWxdDKL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/81vlFWxdDKL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81vlFWxdDKL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81vlFWxdDKL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81vlFWxdDKL._AC_UL960_FMwebp_QL65_.jpg']",375
13,Gillette Satin Care Sensitive Skin Gel for Women with Aloe Vera - 195 g,"['https://m.media-amazon.com/images/I/71L5rkTPLQL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71L5rkTPLQL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71L5rkTPLQL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71L5rkTPLQL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71L5rkTPLQL._AC_UL960_FMwebp_QL65_.jpg']",225
14,Gillette Mach 3 Turbo Manual Shaving Razor Blades - 8s Pack (Cartridge),"['https://m.media-amazon.com/images/I/51Qh-OqSdbL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/51Qh-OqSdbL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51Qh-OqSdbL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51Qh-OqSdbL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51Qh-OqSdbL._AC_UL960_FMwebp_QL65_.jpg']",999
15,Gillette Venus Breeze Razor Blades (Cartridge) 3 Blades,"['https://m.media-amazon.com/images/I/71RwyuUjnwL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71RwyuUjnwL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71RwyuUjnwL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71RwyuUjnwL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71RwyuUjnwL._AC_UL960_FMwebp_QL65_.jpg']",350
16,Gillette Fusion Manual Shaving Razor Blades - 2s Pack (Cartridge),"['https://m.media-amazon.com/images/I/71qaX4x097L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71qaX4x097L._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71qaX4x097L._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71qaX4x097L._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71qaX4x097L._AC_UL960_FMwebp_QL65_.jpg']",535
17,Gillette Skinguard Manual Shaving Razor Blades- pack of 4 cartridges,"['https://m.media-amazon.com/images/I/71rynj5ksvL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71rynj5ksvL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71rynj5ksvL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71rynj5ksvL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71rynj5ksvL._AC_UL960_QL65_.jpg']",536
18,Gillette Presto Razor [Pack of 8],"['https://m.media-amazon.com/images/I/71ERY2GeTWL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71ERY2GeTWL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71ERY2GeTWL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71ERY2GeTWL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71ERY2GeTWL._AC_UL960_QL65_.jpg']",157
19,Gillette Mach 3 Manual Shaving Razor Blades - 8s Pack (Cartridge),"['https://m.media-amazon.com/images/I/71CvP5OXLHL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71CvP5OXLHL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71CvP5OXLHL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71CvP5OXLHL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71CvP5OXLHL._AC_UL960_QL65_.jpg']",840
20,Gillette Mach3 Sensitive Blades - 4 Cartridges,"['https://m.media-amazon.com/images/I/81ozQMccyQL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/81ozQMccyQL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81ozQMccyQL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81ozQMccyQL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81ozQMccyQL._AC_UL960_QL65_.jpg']",628
