,Title,image,MRP
10,"Colgate Visible White, Teeth Whitening Toothpaste, 400g, 200gm x 2 (Sparkling Mint, Saver Pack)","['https://m.media-amazon.com/images/I/613aSXIBd9L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/613aSXIBd9L._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/613aSXIBd9L._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/613aSXIBd9L._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/613aSXIBd9L._AC_UL960_FMwebp_QL65_.jpg']",335
11,"Colgate Visible White Teeth Whitening Toothpaste, Protects Enamel, Removes Stains, With Whitening Accelerators, 400g, 100g X 4","['https://m.media-amazon.com/images/I/61+LZjOQ6yL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61+LZjOQ6yL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61+LZjOQ6yL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61+LZjOQ6yL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61+LZjOQ6yL._AC_UL960_FMwebp_QL65_.jpg']",350
12,Dabur Red Paste - 200 g (Pack of 2),"['https://m.media-amazon.com/images/I/81Ue6TWP-RL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/81Ue6TWP-RL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81Ue6TWP-RL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81Ue6TWP-RL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81Ue6TWP-RL._AC_UL960_FMwebp_QL65_.jpg']",144
13,"Colgate Active Salt Toothpaste, Germ Fighting Toothpaste for Healthy Gums and Teeth, 800g, 200g X 4","['https://m.media-amazon.com/images/I/7189aELeG-L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/7189aELeG-L._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/7189aELeG-L._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/7189aELeG-L._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/7189aELeG-L._AC_UL960_FMwebp_QL65_.jpg']",370
14,Colgate Strong Teeth Anticavity Toothpaste with Amino Shakti - 500gm (Pack of 2),"['https://m.media-amazon.com/images/I/71hg1V5e8gL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71hg1V5e8gL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71hg1V5e8gL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71hg1V5e8gL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71hg1V5e8gL._AC_UL960_FMwebp_QL65_.jpg']",391
15,"Colgate Toothpaste for Kids (6-9 years), Natural Strawberry Mint Flavour, 0% Artificial - 80g Tube","['https://m.media-amazon.com/images/I/51y+ry8Cj3L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/51y+ry8Cj3L._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51y+ry8Cj3L._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51y+ry8Cj3L._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51y+ry8Cj3L._AC_UL960_QL65_.jpg']",150
16,Biomed Propoline Natural Toothpaste For Healthy Gums And Enamel Strengthening,"['https://m.media-amazon.com/images/I/81nyE2sqrYL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/81nyE2sqrYL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81nyE2sqrYL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81nyE2sqrYL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81nyE2sqrYL._AC_UL960_QL65_.jpg']",218
17,Baidyanath Neem Toothpaste - 100 g (Pack of 4),"['https://m.media-amazon.com/images/I/71w3SGl6gVL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71w3SGl6gVL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71w3SGl6gVL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71w3SGl6gVL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71w3SGl6gVL._AC_UL960_QL65_.jpg']",192
18,Dabur Red Paste 500g(200g+200g+100g),"['https://m.media-amazon.com/images/I/61cWdpdgARL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61cWdpdgARL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61cWdpdgARL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61cWdpdgARL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61cWdpdgARL._AC_UL960_QL65_.jpg']",171
19,Colgate Herbal Toothpaste - 200 g with Swarna Vedshakti Toothpaste - 200 g and Slim Soft Charcoal Toothbrush,"['https://m.media-amazon.com/images/I/61jQacK0WJL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61jQacK0WJL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61jQacK0WJL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61jQacK0WJL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61jQacK0WJL._AC_UL960_QL65_.jpg']",270
