,Title,image,MRP
11,Surf Excel Easy Wash Detergent Powder - 1 kg,"['https://m.media-amazon.com/images/I/61pVE2XMAmL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61pVE2XMAmL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61pVE2XMAmL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61pVE2XMAmL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61pVE2XMAmL._AC_UL960_FMwebp_QL65_.jpg']",120
12,"Surf Excel Easy Wash Detergent Powder, 4 kg","['https://m.media-amazon.com/images/I/61rDJVoKpeL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61rDJVoKpeL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61rDJVoKpeL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61rDJVoKpeL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61rDJVoKpeL._AC_UL960_QL65_.jpg']",469
13,Surf Excel Mineral Bar - 105 g,"['https://m.media-amazon.com/images/I/61E2DFu-U5L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61E2DFu-U5L._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61E2DFu-U5L._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61E2DFu-U5L._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61E2DFu-U5L._AC_UL960_QL65_.jpg']",9
14,Surf Excel Easy Wash - 500 g,"['https://m.media-amazon.com/images/I/61gHH5yLxTL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61gHH5yLxTL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61gHH5yLxTL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61gHH5yLxTL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61gHH5yLxTL._AC_UL960_QL65_.jpg']",52
15,Surf Excel Matic Top Load Liquid Detergent - 1.02L and Surf Excel Matic Front Load Liquid Detergent - 1.02 L,"['https://m.media-amazon.com/images/I/51R03sHbU-L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/51R03sHbU-L._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51R03sHbU-L._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51R03sHbU-L._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51R03sHbU-L._AC_UL960_QL65_.jpg']",414
16,Surf Excel Front Load Matic Liquid Detergent Pouch - 2 L & Surf Excel Top Load Matic Liquid Detergent Pouch - 2 L,"['https://m.media-amazon.com/images/I/61hQZ6qpXnL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61hQZ6qpXnL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61hQZ6qpXnL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61hQZ6qpXnL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61hQZ6qpXnL._AC_UL960_QL65_.jpg']",760
17,Surf Excel Easy Wash Liquid 500 ml,"['https://m.media-amazon.com/images/I/51ssW0YkOHL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/51ssW0YkOHL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51ssW0YkOHL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51ssW0YkOHL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51ssW0YkOHL._AC_UL960_QL65_.jpg']",90
18,"Surf Excel Matic - Front Load, 1kg Carton","['https://m.media-amazon.com/images/I/81dNMXZ5JZL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/81dNMXZ5JZL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81dNMXZ5JZL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81dNMXZ5JZL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81dNMXZ5JZL._AC_UL960_QL65_.jpg']",274
19,Surf Excel Quick Wash 500 g,"['https://m.media-amazon.com/images/I/61+5IHqGs3L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61+5IHqGs3L._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61+5IHqGs3L._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61+5IHqGs3L._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61+5IHqGs3L._AC_UL960_QL65_.jpg']",90
20,Surf Excel Detergent Bar - 250 g (Pack of 6),"['https://m.media-amazon.com/images/I/41FyJhx-+7L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/41FyJhx-+7L._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/41FyJhx-+7L._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/41FyJhx-+7L._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/41FyJhx-+7L._AC_UL932_QL65_.jpg']",174
