,Title,image,MRP
10,"Dettol Body Wash and Shower Gel, Revitalize - 250ml","['https://m.media-amazon.com/images/I/51Bs1Oc6JfL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/51Bs1Oc6JfL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51Bs1Oc6JfL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51Bs1Oc6JfL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51Bs1Oc6JfL._AC_UL960_FMwebp_QL65_.jpg']",160
11,"Dettol After Detergent Wash Liquid Laundry Sanitizer, Fresh Linen, 960ml","['https://m.media-amazon.com/images/I/51vujxUmlBL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/51vujxUmlBL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51vujxUmlBL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51vujxUmlBL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51vujxUmlBL._AC_UL960_FMwebp_QL65_.jpg']",290
12,"Dettol After Detergent Wash Liquid Laundry Sanitizer, Spring Blossom - 960ml","['https://m.media-amazon.com/images/I/51S5+iYCpJL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/51S5+iYCpJL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51S5+iYCpJL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51S5+iYCpJL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51S5+iYCpJL._AC_UL960_FMwebp_QL65_.jpg']",290
13,"Dettol Cool Germ Protection Bathing Soap bar, 125gm (Pack of 5)","['https://m.media-amazon.com/images/I/61SF9AJkB3L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61SF9AJkB3L._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61SF9AJkB3L._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61SF9AJkB3L._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61SF9AJkB3L._AC_UL960_FMwebp_QL65_.jpg']",200
14,"Dettol Skincare Germ Protection Bathing Soap bar, 125gm (Pack of 4)","['https://m.media-amazon.com/images/I/61GtaQEQ3lL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61GtaQEQ3lL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61GtaQEQ3lL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61GtaQEQ3lL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61GtaQEQ3lL._AC_UL960_FMwebp_QL65_.jpg']",150
15,"Dettol After Detergent Wash Liquid Laundry Sanitizer, Spring Blossom - 480ml","['https://m.media-amazon.com/images/I/51YMZK647GL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/51YMZK647GL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51YMZK647GL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51YMZK647GL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51YMZK647GL._AC_UL960_FMwebp_QL65_.jpg']",170
16,"Dettol Original Germ Protection Handwash Liquid Soap Jar, 900ml","['https://m.media-amazon.com/images/I/51OvecJapWL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/51OvecJapWL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51OvecJapWL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51OvecJapWL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51OvecJapWL._AC_UL960_FMwebp_QL65_.jpg']",148
17,"Dettol Body Wash and Shower Gel, Cool - 250ml","['https://m.media-amazon.com/images/I/61-AhlP7C2L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61-AhlP7C2L._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61-AhlP7C2L._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61-AhlP7C2L._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61-AhlP7C2L._AC_UL960_FMwebp_QL65_.jpg']",160
18,"Dettol After Detergent Wash Liquid Laundry Sanitizer, Spring Blossom, 480ml","['https://m.media-amazon.com/images/I/51YMZK647GL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/51YMZK647GL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51YMZK647GL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51YMZK647GL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51YMZK647GL._AC_UL960_FMwebp_QL65_.jpg']",170
19,"Dettol & Moms Bathing Soap Sandal, 75gm, Pack of 4","['https://m.media-amazon.com/images/I/61wjgXd5EML._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61wjgXd5EML._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61wjgXd5EML._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61wjgXd5EML._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61wjgXd5EML._AC_UL960_FMwebp_QL65_.jpg']",120
