,Title,image,MRP
11,"Catch Black Pepper Sprinkles, 100g","['https://m.media-amazon.com/images/I/71fl1yWCOXL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71fl1yWCOXL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71fl1yWCOXL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71fl1yWCOXL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71fl1yWCOXL._AC_UL960_FMwebp_QL65_.jpg']",150
12,"Catch Chat Pata Masala, 100g","['https://m.media-amazon.com/images/I/81SgK7L7WpL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/81SgK7L7WpL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81SgK7L7WpL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81SgK7L7WpL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81SgK7L7WpL._AC_UL960_FMwebp_QL65_.jpg']",62
13,"MDH Sambar Masala, 100g","['https://m.media-amazon.com/images/I/81S1580EElL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/81S1580EElL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81S1580EElL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81S1580EElL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81S1580EElL._AC_UL960_FMwebp_QL65_.jpg']",60
14,"MDH Chicken Masala, 100g","['https://m.media-amazon.com/images/I/51gmp7VBgSL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/51gmp7VBgSL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51gmp7VBgSL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51gmp7VBgSL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51gmp7VBgSL._AC_UL960_FMwebp_QL65_.jpg']",67
15,"MDH Peacock Kasoori Methi, 50 g","['https://m.media-amazon.com/images/I/91vjLo4cynL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/91vjLo4cynL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/91vjLo4cynL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/91vjLo4cynL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/91vjLo4cynL._AC_UL960_FMwebp_QL65_.jpg']",44
16,"MDH Chunky Chat, 500g","['https://m.media-amazon.com/images/I/51O-YRKD-oL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/51O-YRKD-oL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51O-YRKD-oL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51O-YRKD-oL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51O-YRKD-oL._AC_UL960_FMwebp_QL65_.jpg']",297
17,MDH Hing - 10g,"['https://m.media-amazon.com/images/I/61k5+OUr+gL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61k5+OUr+gL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61k5+OUr+gL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61k5+OUr+gL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61k5+OUr+gL._AC_UL960_FMwebp_QL65_.jpg']",64
18,"MDH Kali Mirch, 100g","['https://m.media-amazon.com/images/I/91sEOWjFBOL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/91sEOWjFBOL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/91sEOWjFBOL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/91sEOWjFBOL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/91sEOWjFBOL._AC_UL960_FMwebp_QL65_.jpg']",130
19,"MDH Shahi Paneer, 100g","['https://m.media-amazon.com/images/I/71csWOp1y2L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71csWOp1y2L._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71csWOp1y2L._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71csWOp1y2L._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71csWOp1y2L._AC_UL960_FMwebp_QL65_.jpg']",80
20,"MDH Chunky Chat, 100g","['https://m.media-amazon.com/images/I/81H9OwarVaL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/81H9OwarVaL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81H9OwarVaL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81H9OwarVaL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81H9OwarVaL._AC_UL960_FMwebp_QL65_.jpg']",62
21,"Catch Compounded Hing, 100g","['https://m.media-amazon.com/images/I/61s1IzWxfNL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61s1IzWxfNL._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61s1IzWxfNL._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61s1IzWxfNL._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61s1IzWxfNL._AC_UL960_FMwebp_QL65_.jpg']",150
22,"Everest Masala Powder - Meat, 100g Carton","['https://m.media-amazon.com/images/I/81B2oeclw7L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/81B2oeclw7L._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81B2oeclw7L._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81B2oeclw7L._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81B2oeclw7L._AC_UL960_FMwebp_QL65_.jpg']",72
23,"MDH Kali Mirch, 50g","['https://m.media-amazon.com/images/I/91baShBQk1L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/91baShBQk1L._AC_UL480_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/91baShBQk1L._AC_UL640_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/91baShBQk1L._AC_UL800_FMwebp_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/91baShBQk1L._AC_UL960_FMwebp_QL65_.jpg']",70
